,Weighting,InheritedValue,HI,AR,GK,AL,TB,VE,AV,OC,LI,OE,OI,LA,LU,LY,TA,PE,PR,LT,GO,ON,OG,WE,OS,UM
!1016P16,50,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1
!1017P17,50,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1
!1018P18,50,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1
!1019P19,50,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1
!1020P20,50,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1
!1021P21,50,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1
!1022P22,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
1031.1M1a,50,-1,1,2,2,2,3,2,2,2,4,5,6,2,1,1,3,2,4,4,5,5,5,7,2,2
1031.2M1b,50,-1,1,2,2,2,3,2,2,2,4,5,6,2,7,7,3,2,4,4,5,5,5,8,2,2
1032M2,50,-1,2,1,1,3,4,1,1,5,6,7,8,9,10,11,12,1,13,14,15,16,17,18,19,20
!1033M3,50,1,1,2,2,3,2,2,2,2,4,5,2,2,1,1,2,6,7,8,9,10,11,12,2,2
1034M4,50,-1,1,4,1,5,3,6,7,8,9,10,11,2,12,13,3,14,15,16,17,18,19,20,21,22
!1035M5,50,1,1,3,2,4,1,2,2,5,6,2,1,1,1,7,1,2,8,9,2,2,10,1,1,1
!1036M6,50,-1,4,5,2,6,1,2,2,2,2,2,3,3,7,8,1,2,2,2,2,2,2,3,3,3
!1038M8,50,-1,3,4,1,5,6,1,1,7,8,1,2,2,9,10,11,1,12,13,1,1,1,2,2,2
!1042M12,50,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,3
!1043M13,50,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2
!1044M14,50,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1
!1045M15,50,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1
1.1all1,1,-1,1,2,3,4,3,5,5,5,5,6,6,7,8,8,3,5,5,5,6,6,6,9,10,11
1.2all2,1,-1,1,2,3,4,3,5,5,12,12,6,13,7,8,8,3,5,12,12,6,6,6,9,10,11
2and,1,-1,1,2,3,4,5,6,6,7,7,8,9,10,1,1,11,6,12,13,14,15,8,6,16,10
3animal,1,-1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,5,15,16,17,10,10,10,18,19,20
4.1ashes1,1,-1,1,2,3,4,5,1,6,7,7,1,8,9,10,11,5,12,7,7,1,1,1,8,13,14
4.2ashes2,1,-1,1,2,3,4,5,1,6,7,15,16,8,9,10,11,5,12,15,15,16,16,16,8,13,14
5at,1,-1,1,2,3,4,5,6,7,8,8,9,10,9,11,12,5,13,8,14,9,9,9,15,9,9
7bad,1,-1,1,2,3,4,1,5,6,7,8,9,10,11,1,12,13,14,15,16,9,17,9,18,11,19
8bark,1,-1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,10,21,22,23
9because,1,-1,1,1,2,3,4,5,5,6,7,8,9,10,11,12,4,13,14,7,15,16,17,18,19,20
10.1belly1,1,-1,1,2,3,4,5,6,6,7,8,9,10,11,12,13,5,14,6,6,9,9,9,15,16,17
10.2belly2,1,-1,1,2,3,4,5,6,6,7,8,9,10,11,12,13,5,14,18,18,9,9,9,15,16,17
11.1big1,1,-1,1,2,2,2,3,2,2,4,5,2,6,2,7,8,9,10,11,12,2,2,2,6,13,13
11.2big2,1,-1,1,2,2,2,3,2,2,4,5,14,6,2,7,8,9,10,11,12,14,14,14,6,13,13
12bird,1,-1,1,2,3,4,5,6,6,7,8,9,10,6,11,12,5,13,14,7,9,9,9,10,15,6
13bite,1,-1,1,2,3,4,5,3,3,6,6,7,8,9,10,11,12,13,14,6,7,7,7,15,16,17
18.1breast1,1,-1,1,2,3,4,2,2,2,5,6,7,8,9,1,10,2,11,12,6,7,7,7,7,13,14
18.2breast2,1,-1,1,2,3,4,2,2,2,5,6,7,8,9,1,10,2,11,12,6,7,7,7,13,14,15
19breathe,1,-1,1,2,3,4,5,5,5,6,7,5,5,8,9,10,11,12,13,14,5,5,15,5,16,17
20burn,1,-1,1,2,3,4,4,4,4,5,4,6,7,8,9,10,4,11,12,4,6,6,6,7,13,14
21child,1,-1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,5,15,16,17,10,10,18,19,20,21
22claw,1,-1,1,2,3,4,5,3,6,3,3,7,3,3,8,9,10,11,12,3,13,7,7,14,15,16
28.1day1,1,-1,1,2,2,1,3,1,4,1,1,5,6,1,7,8,3,9,1,1,5,5,5,10,1,1
28.2day2,1,-1,11,2,2,12,3,1,4,13,13,5,6,1,7,8,3,9,13,13,5,5,5,10,14,14
28a.1day3,1,-1,1,1,2,1,3,4,4,1,1,5,6,1,7,8,3,9,10,1,5,5,5,1,11,12
28a.2day4,1,-1,13,1,2,14,3,4,4,15,15,5,6,1,7,8,3,9,10,15,5,5,5,1,11,12
30dig,1,-1,1,2,3,4,5,6,6,7,8,9,10,1,11,12,5,6,13,14,9,9,9,10,15,16
31dirty,1,-1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,19,19,20,21,22
32dog,1,-1,1,1,1,2,1,1,1,3,1,9,1,4,1,5,1,6,1,1,9,9,9,1,7,8
33drink,1,-1,1,2,3,3,1,3,4,3,5,6,3,3,1,7,1,8,3,5,6,6,6,3,3,9
35dull,1,-1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,20,21,22,23
36dust,1,-1,1,2,3,4,5,7,8,9,10,6,12,13,14,15,5,16,17,18,19,11,19,20,21,22
37.1ear1,1,-1,1,2,2,2,3,4,5,2,2,2,9,2,1,6,3,5,2,2,2,2,2,9,7,8
37.2ear2,1,-1,1,2,2,2,3,4,5,2,2,10,9,2,1,6,3,5,2,2,10,10,10,9,7,8
38.1earth1,1,-1,1,2,3,1,1,1,1,1,1,4,5,6,1,7,1,8,1,1,4,4,4,9,6,10
38.2earth2,1,-1,1,2,3,1,1,1,1,11,11,4,5,6,1,7,1,8,11,11,4,4,4,9,6,10
40egg,1,-1,1,2,3,4,5,6,7,3,8,3,9,3,10,11,12,13,14,15,16,3,3,3,17,18
41.1eye1,1,-1,1,2,2,3,2,2,4,2,2,2,8,2,1,1,2,4,2,2,2,2,2,5,6,7
41.2eye2,1,-1,1,2,2,3,2,2,4,2,2,9,8,2,1,1,2,4,2,2,9,9,9,5,6,7
43.1far1,1,-1,1,2,14,3,4,1,1,5,6,15,7,16,8,9,4,1,10,6,15,15,15,11,12,13
43.2far2,1,-1,1,2,14,3,4,17,17,5,6,15,7,16,8,9,4,17,10,6,15,15,15,11,12,13
44fat,1,-1,1,2,3,4,5,6,6,7,7,8,9,10,11,12,5,13,7,7,14,8,15,16,17,10
47.1feather1,1,-1,1,2,3,4,3,3,3,3,5,6,7,18,8,9,10,11,12,13,14,6,6,15,16,17
47.2feather2,1,-1,1,2,19,4,20,21,21,3,5,6,7,18,8,9,10,11,12,13,14,6,6,15,16,17
48.1few1,1,-1,1,2,3,4,5,6,7,8,9,10,11,10,12,13,14,7,15,9,10,10,10,16,17,18
48.2few2,1,-1,1,2,3,4,5,6,7,8,9,10,11,19,12,13,14,7,15,9,10,10,10,16,17,18
51.1fish1,1,-1,1,2,2,3,4,5,5,6,2,7,7,7,8,9,10,11,2,2,7,7,7,12,13,14
51.2fish2,1,-1,1,2,2,3,4,5,5,6,2,7,15,16,8,9,10,11,2,2,7,7,7,12,13,14
52five,1,-1,1,2,2,2,2,2,2,2,2,6,2,2,3,4,2,5,2,2,6,6,6,2,2,2
