,!1001P1,!1002P2,!1003P3,!1004P4,!1005P5,!1006P6,!1006P7,!1008P8,!1009P9,!1010P10,!1011P11,!1012P12,!1013P13,!1014P14,!1015P15,!1016P16,!1017P17,!1018P18,!1019P19,!1020P20,!1021P21,!1022P22,1031.1M1a,1031.2M1b,1032M2,!1033M3,1034M4,!1035M5,!1036M6,!1038M8,!1042M12,!1043M13,!1044M14,!1045M15,1.1all1,1.2all2,2and,3animal,4.1ashes1,4.2ashes2,5at,7bad,8bark,9because,10.1belly1,10.2belly2,11.1big1,11.2big2,12bird,13bite,18.1breast1,18.2breast2,19breathe,20burn,21child,22claw,28.1day1,28.2day2,28a.1day3,28a.2day4,30dig,31dirty,32dog,33drink,35dull,36dust,37.1ear1,37.2ear2,38.1earth1,38.2earth2,40egg,41.1eye1,41.2eye2,43.1far1,43.2far2,44fat,47.1feather1,47.2feather2,48.1few1,48.2few2,51.1fish1,51.2fish2,52five,53.1float1,53.2float2,55flower,58foot,59.1four1,59.2four2,60freeze,61fruit,62.1full1,62.2full2,63.1give1,63.2give2,64good,65grass,66.1green1,66.2green2,67guts,69.1hand1,69.2hand2,71head,73.1heart1,73.2heart2,79how,80hunt,83ice,85.1in1,85.2in2,87.1knee1,87.2knee2,90laugh,92lefthand,93leg,95.1live1,95.2live2,96liver,97.1long1,97.2long2,98louse,101meat,103mother,104.1mountain1,104.2mountain2,105mouth,106.1name1,106.2name2,108near,112nose,113not,115one,116other,118pierce,119play,121push,122.1rain1,122.2rain2,124righthand,125right,126river,128root,130rotten,131round,132rub,133salt,134sand,136scratch,138see,140sew,142short,143sing,149smell,150smoke,151smooth,154some,155spit,157squeeze,158.1stand1,158.2stand2,159.1star1,159.2star2,160stick,161stone,162straight,163.2suck2,164.1sun1,165swell,167tail,169there,171thick,172thin,175thou,176three,177throw,179.1tongue1,179.2tongue2,179.3tongue3,181.1tree1,181.2tree2,182turn,183two,184vomit,189aus,191what,192.1when1,195who,197wife,198.1wind1,198.2wind2,199.1wing1,199.2wing2,200wipe,202woman,205ayou,207.1yellow1,207.2yellow2,301arm,304autumn,305be_awake,307axle,309bear,310beard,311bee2,312be_born,313.1bow1,313.2bow2,315.1break1,315.2break2,316bronze,317.1brother1,317.2brother2,318brother-in-law,320buy,321.1carry1,321.2carry2,324comb,325cook,327darkness,328daughter,329daughter-in-law,331drive,333eight,334.1elbow1,334.2elbow2,335eyebrow,336father-in-law,338finger,339fly,340follow,341free,342furrow,344goat,345gold,346goose,348grind,349half,353horse,355hundred,356jaw,357join,358king,359knot,362.1leave1,362.2leave2,363lick,365light,367livestock,369middle,370.1milk1,370.2milk2,371mother_in_law,372mouse,373nail,374naked,375navel,376nine,377.1now1,377.1now2,378orphan,381plow,382pour,384remember,385roof,386row,387send,388seven,393silver,394sister,395sister-in-law,396six,398.1son-in-law1,398.2son-in-law2,399spin,400.1spring1,400.2spring2,403.1summer1,403.2summer2,405.1sweet1,405.2sweet2,406ten,407.1thousand1,407.2thousand2,408twenty,409udder,410wasp,414widow,415winter,418wool,419yoke,420.1young1,420.2young2,421tear
Lithuanian,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,4,4,6,4,9,6,2,8,1,1,2,1,5,12,7,9,7,15,8,8,9,7,8,8,5,5,8,6,6,6,7,4,9,3,1,13,1,15,8,9,1,5,9,10,2,2,1,11,8,2,2,6,6,7,5,5,9,9,2,2,2,9,1,9,4,2,2,9,9,6,6,2,8,8,9,3,16,7,2,2,7,1,1,2,9,8,1,1,9,9,8,7,9,2,10,6,6,15,9,2,2,7,7,7,2,2,9,6,1,4,6,9,9,8,7,7,14,8,9,9,18,9,8,6,8,9,9,6,8,8,8,17,8,17,3,8,3,6,3,3,9,6,8,6,3,7,9,6,8,8,1,1,6,2,11,11,6,6,6,1,3,3,1,11,1,4,1,13,1,21,9,4,2,6,17,7,8,6,3,4,5,18,6,7,7,8,8,9,2,5,6,6,4,4,9,6,6,2,5,9,2,7,7,5,6,8,2,3,9,9,4,7,3,1,9,6,3,2,6,9,9,2,2,2,4,8,5,15,15,6,5,14,12,7,5,3,3,8,3,6,3,17,9,9,1,11,2,8,2,3,18,9,1,14,7,7,9,9,2,6,6,4,8,7,5,2,1,1,5,5,11
Old English,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,5,5,7,5,10,2,2,1,1,1,1,2,6,6,8,10,1,16,9,9,10,8,9,9,2,14,9,7,7,7,5,6,10,7,5,5,5,5,9,10,9,6,10,6,2,10,4,4,3,2,9,15,15,8,6,6,10,10,7,7,6,9,1,10,1,2,5,10,10,6,6,4,4,9,10,7,7,8,3,3,8,1,10,2,10,7,1,1,1,10,9,8,10,4,4,7,7,7,10,5,2,8,8,8,1,1,10,6,1,11,10,10,10,9,8,8,5,18,10,10,19,10,9,12,2,10,10,6,9,9,9,7,9,18,3,9,3,7,1,12,10,7,17,16,3,8,10,6,9,6,1,1,7,2,12,12,1,18,9,1,7,2,1,13,1,1,1,10,2,2,10,5,1,6,18,8,9,7,3,5,5,6,7,8,8,9,9,7,2,2,2,7,2,2,10,7,7,2,2,10,2,8,17,3,4,9,5,7,10,10,8,15,3,7,10,7,3,6,8,10,10,3,3,2,1,6,2,5,17,2,2,15,13,16,2,1,1,9,3,14,3,18,20,10,7,12,2,9,2,5,5,10,4,4,2,18,6,6,2,6,6,5,3,7,2,7,1,1,5,12,2
Old Irish,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,6,6,8,2,11,1,3,2,1,1,1,1,6,13,9,11,8,8,10,10,11,9,10,10,6,6,10,8,8,8,5,7,11,3,6,6,6,6,10,11,1,3,11,12,9,9,5,5,9,8,8,7,7,9,7,7,11,11,7,15,2,11,11,17,5,2,2,11,11,6,6,5,5,10,11,8,8,9,4,4,9,1,1,2,11,1,1,1,1,11,10,9,11,2,11,8,8,8,11,6,2,9,9,9,1,1,11,7,1,11,2,11,11,10,9,9,15,9,1,11,8,11,10,13,9,11,11,8,10,10,10,9,10,6,7,10,3,3,4,4,11,8,6,2,6,9,23,9,9,6,1,1,8,2,13,13,7,7,10,1,8,2,1,14,1,1,4,4,17,17,11,1,1,7,7,9,10,8,7,6,6,6,2,9,9,2,2,10,2,2,7,3,2,2,20,8,16,4,6,3,2,8,8,3,7,10,6,3,11,11,9,8,7,1,11,3,3,7,9,6,11,6,6,2,1,9,2,5,5,7,6,16,14,3,2,4,4,10,3,7,3,19,20,11,1,3,2,10,2,6,6,3,5,5,2,2,7,7,2,7,7,2,9,9,2,2,12,1,5,12,2
Latin,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,9,2,2,1,3,2,2,2,1,1,7,7,10,12,9,9,9,11,12,10,11,11,2,2,6,9,9,9,8,8,12,3,1,1,1,1,1,12,4,3,12,13,2,2,6,6,3,2,2,16,16,10,18,18,10,19,7,16,2,32,32,18,1,2,2,12,12,6,11,2,7,11,12,9,9,2,5,5,10,1,1,2,12,9,1,1,1,1,11,10,2,2,9,2,7,7,12,7,2,10,10,1,1,1,12,6,1,11,2,8,12,11,10,10,16,18,11,10,20,12,11,2,10,12,8,6,3,10,2,17,3,19,3,11,3,8,1,1,3,9,17,16,3,10,11,7,10,6,1,1,9,2,2,2,8,8,6,1,3,2,1,15,1,5,1,10,7,7,12,6,1,8,8,10,11,17,3,1,5,7,2,10,10,9,17,7,2,2,2,8,2,2,3,3,6,5,2,3,2,9,9,6,4,11,2,3,3,12,10,7,3,1,12,3,3,8,6,6,12,2,2,2,1,6,2,16,16,2,2,3,1,3,2,1,1,2,3,14,3,20,21,12,1,3,2,3,2,3,3,3,1,1,8,8,11,11,2,8,8,2,3,7,2,2,1,1,5,5,2
Luvian,5,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,10,1,12,1,7,9,1,1,1,1,8,8,1,13,10,10,11,1,13,11,12,12,7,7,11,10,1,1,9,9,13,8,7,7,7,7,11,13,1,1,13,14,1,1,1,1,10,1,1,8,8,11,8,8,12,12,8,8,3,2,2,11,1,1,1,13,13,7,7,1,6,6,13,1,1,10,1,1,11,1,1,4,13,10,1,7,3,3,12,11,12,5,5,9,9,9,13,8,1,11,11,1,1,4,13,8,1,5,7,12,13,12,11,11,6,10,1,12,9,13,12,7,11,13,12,9,1,11,11,10,11,7,8,12,3,3,5,5,12,10,9,7,11,11,12,11,11,9,1,1,10,1,1,1,9,9,11,2,9,2,1,16,1,6,5,5,8,8,1,1,1,1,1,11,12,9,8,7,7,8,8,11,11,10,10,11,1,1,8,9,1,1,11,9,8,2,7,13,3,10,10,7,8,12,7,8,12,13,11,9,8,8,13,3,5,9,10,11,13,7,7,5,5,10,6,8,8,8,7,6,4,8,3,1,1,11,7,1,7,9,10,13,2,7,1,11,3,7,7,11,6,6,9,9,12,12,3,9,9,6,10,10,6,9,1,5,6,6,5
Lycian,6,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,11,1,13,7,8,10,1,1,1,1,8,8,1,14,11,11,12,12,14,12,13,13,8,8,12,11,10,10,10,10,14,9,8,8,8,8,12,14,5,7,14,15,6,6,7,7,11,1,1,9,9,12,9,9,13,13,9,9,4,3,3,12,1,3,3,14,14,8,8,1,6,12,14,10,10,11,1,1,12,4,4,5,14,11,1,7,4,4,13,12,13,6,6,10,10,10,14,9,1,12,12,10,1,4,14,9,1,6,8,13,14,13,12,12,7,11,12,13,10,14,13,8,12,14,13,10,11,12,12,11,12,8,9,13,3,3,6,6,13,11,10,8,7,12,13,12,12,10,3,1,11,5,5,5,10,10,12,1,10,5,1,3,1,7,6,6,9,9,13,7,7,9,9,12,13,10,9,8,8,9,9,12,12,11,11,12,1,1,9,10,5,5,12,10,9,2,8,14,2,11,11,8,9,13,8,9,1,14,12,10,9,9,14,3,6,10,11,11,14,8,8,6,6,11,7,9,9,9,8,7,5,9,2,5,5,12,8,8,8,10,11,14,3,8,5,12,4,8,8,12,7,7,10,10,14,14,4,10,10,7,11,11,7,11,6,6,7,7,6
Tocharian A,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,3,3,12,2,3,1,1,11,1,1,1,1,3,3,11,5,5,5,5,13,15,4,5,5,9,9,5,12,2,2,11,4,5,10,3,3,3,3,5,15,1,1,15,5,3,3,1,1,12,2,2,4,4,5,10,10,14,14,10,10,2,5,5,5,1,2,2,15,15,5,5,1,1,5,5,11,11,12,1,1,13,3,3,6,15,12,2,2,1,1,4,5,14,2,9,11,5,5,15,10,2,5,5,5,1,1,15,5,3,2,2,5,15,5,3,18,8,12,13,14,11,15,14,11,4,15,5,11,12,5,4,12,13,4,10,14,5,5,1,11,14,12,11,9,5,13,14,6,13,11,1,1,12,2,8,8,3,3,5,1,11,1,1,2,1,1,1,10,10,10,5,3,5,10,10,5,14,11,10,9,9,10,4,13,13,5,5,13,2,2,10,11,2,2,13,3,5,2,9,16,2,12,12,3,10,5,9,3,13,15,5,5,10,10,15,3,3,2,5,5,15,4,4,7,1,12,3,5,5,10,9,12,6,10,2,6,6,13,9,3,5,11,12,5,1,5,2,13,2,9,9,13,8,8,2,17,6,10,2,5,5,2,12,12,8,2,7,7,8,8,11
Old Persian,1,2,2,1,1,1,1,1,1,1,1,2,3,2,1,1,1,1,1,1,1,1,2,2,1,6,14,2,2,1,1,1,1,1,5,5,6,15,12,12,13,14,16,13,14,14,10,10,13,13,11,11,12,11,15,11,9,9,9,9,6,16,6,8,16,16,5,5,8,8,13,4,4,1,17,13,11,11,7,7,11,11,5,6,6,13,1,4,4,16,16,9,9,2,7,6,15,12,12,13,1,6,14,5,5,7,16,13,5,5,5,5,14,13,15,2,9,12,6,6,16,11,2,13,13,11,1,1,7,6,1,10,4,14,16,14,13,13,9,13,7,15,12,16,15,9,13,16,7,12,13,13,13,13,14,15,11,15,3,3,7,7,15,6,12,10,8,14,15,13,14,12,1,1,1,2,9,15,11,11,6,1,12,6,2,4,1,8,7,7,11,11,14,8,9,11,11,13,15,12,11,10,10,11,10,6,19,12,12,14,2,2,11,12,2,2,14,11,10,6,10,17,4,13,13,9,11,14,10,10,14,16,13,6,11,11,16,3,7,11,12,7,16,9,9,8,7,13,8,10,10,11,10,8,7,11,2,12,12,14,10,9,9,12,13,6,4,3,6,14,5,10,10,14,1,1,11,11,17,17,5,11,11,8,13,13,9,14,8,8,9,9,7
Old Prussian,1,2,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,4,4,13,7,15,8,2,12,1,1,2,1,5,12,12,16,7,15,8,15,17,14,6,18,11,11,14,14,12,12,13,12,16,12,1,13,10,10,13,17,1,3,17,17,2,2,1,11,14,2,2,10,10,7,12,12,15,15,2,2,2,7,7,14,3,2,2,17,17,6,6,2,8,13,16,3,16,14,2,2,7,1,1,2,9,8,1,1,6,6,15,14,16,2,9,2,6,15,17,2,2,14,14,6,1,1,16,6,1,11,6,8,17,15,14,14,10,14,9,9,13,17,16,2,14,17,8,13,14,14,14,17,15,9,12,16,3,3,8,8,9,13,13,11,3,15,16,6,15,13,1,1,6,2,10,10,12,12,6,1,3,3,1,11,1,1,1,12,12,12,15,1,1,6,17,8,3,6,3,4,5,18,6,14,14,7,7,15,2,2,12,13,6,6,15,12,11,2,5,9,2,7,7,3,12,8,2,11,15,17,4,7,3,12,17,8,8,12,13,12,17,10,10,9,8,14,9,11,11,12,11,13,8,3,2,7,7,15,3,6,10,17,14,15,1,13,2,15,2,11,11,15,9,9,12,12,18,18,2,6,6,9,14,7,2,2,9,9,10,10,8
Latvian,1,2,4,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,4,4,14,8,16,9,2,13,1,1,2,1,5,12,13,17,7,15,14,16,18,7,6,18,12,12,7,6,6,6,14,4,17,3,1,13,1,15,14,18,1,5,18,18,2,2,1,11,15,2,2,6,6,7,13,13,9,9,2,2,2,9,1,15,4,2,2,9,18,6,6,2,8,13,9,3,16,15,2,2,7,1,1,2,9,8,6,6,9,9,7,15,9,2,12,2,11,11,9,12,2,7,7,12,2,2,17,10,1,4,6,9,18,8,7,7,11,15,9,9,21,9,17,2,8,18,14,6,14,15,2,17,8,10,3,17,3,6,3,3,16,6,8,6,3,16,17,6,16,6,1,1,6,6,6,6,13,13,6,1,3,3,1,11,1,9,1,13,1,21,16,9,2,6,17,7,8,13,3,4,5,18,6,7,7,8,8,16,2,5,6,6,4,4,16,13,6,7,11,9,2,7,7,10,13,8,2,3,16,9,14,16,3,1,9,9,3,13,14,13,9,11,11,2,9,15,5,15,15,13,5,14,9,3,5,8,8,16,3,6,3,13,9,16,1,14,7,8,2,12,12,9,1,14,7,7,9,9,2,6,6,4,8,14,10,2,1,1,5,5,11
Gothic,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,5,5,15,9,17,2,2,1,1,1,1,1,6,6,14,10,1,16,9,9,19,15,9,9,2,14,9,7,7,7,5,6,10,13,5,5,5,5,9,19,9,6,19,19,2,10,4,4,16,2,9,15,15,14,14,14,10,10,7,7,6,8,8,10,1,2,5,10,19,6,6,4,4,9,17,13,13,16,3,3,8,1,10,2,17,14,1,1,1,10,9,16,17,4,4,13,7,7,18,2,4,15,15,8,1,1,10,11,1,11,10,15,19,9,8,8,17,18,10,10,19,18,18,12,15,19,10,6,15,9,15,14,16,18,3,9,3,7,1,12,17,7,17,12,3,17,18,6,17,14,1,1,7,2,12,12,14,14,9,1,13,2,1,13,1,1,1,10,13,13,17,1,1,12,12,8,3,7,12,11,11,12,7,15,15,9,9,7,2,2,13,7,2,2,17,14,12,2,12,10,2,14,14,11,4,9,11,12,10,18,8,15,12,1,10,3,3,14,15,14,18,3,3,2,1,16,2,5,17,2,12,9,13,12,2,1,1,17,3,14,3,14,15,10,7,12,2,16,2,13,13,10,10,10,13,13,19,19,2,6,6,5,15,15,2,7,1,1,5,12,2
Old Norse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,5,5,16,10,18,2,2,1,1,1,1,1,6,6,15,10,1,16,9,17,20,16,9,9,2,14,9,7,7,7,5,6,10,7,5,5,5,5,9,19,9,6,20,11,2,10,4,4,3,2,9,15,15,8,6,6,10,10,7,7,6,9,1,10,1,2,5,10,20,6,6,4,4,9,10,7,7,8,3,3,10,1,10,2,18,7,1,1,1,10,9,8,18,4,4,7,7,7,10,13,2,16,16,8,1,1,10,6,4,11,10,16,20,9,8,8,12,18,10,10,22,10,18,12,2,12,10,18,16,9,16,7,16,18,3,9,3,7,1,12,18,7,17,16,3,8,19,6,9,6,1,1,7,2,12,12,1,18,13,1,7,2,1,13,1,1,1,10,14,14,18,1,1,6,6,8,16,7,3,5,12,6,7,8,8,13,13,7,2,2,14,14,2,2,10,15,13,2,2,18,2,8,17,3,14,9,5,7,10,19,8,15,3,1,10,7,3,17,16,10,10,3,3,2,1,6,2,5,17,14,2,15,13,16,2,1,1,18,3,10,3,18,20,10,7,12,2,17,2,13,13,10,1,1,2,18,6,6,2,6,6,5,3,16,11,7,1,1,5,12,2
Old High German,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,5,5,17,11,19,10,2,1,1,1,1,2,6,6,8,10,1,16,9,9,10,17,9,9,2,14,9,7,7,7,15,6,18,7,5,5,5,5,9,19,9,6,20,19,2,10,4,4,3,2,9,15,15,15,6,6,10,10,7,7,6,9,1,10,1,2,5,10,10,6,6,4,4,9,10,7,7,8,3,3,8,1,10,2,18,7,1,1,1,10,9,8,19,4,4,7,7,7,10,5,2,8,8,8,1,1,10,6,1,11,10,17,21,9,8,8,17,18,10,10,19,10,9,12,2,20,10,14,16,9,9,7,16,18,3,18,3,7,1,12,19,7,17,16,3,8,10,6,9,6,1,1,7,2,12,12,17,17,9,1,7,2,1,13,1,1,1,10,2,2,17,5,1,6,18,8,9,7,3,5,5,6,7,8,8,9,9,7,2,2,15,15,7,7,10,16,17,2,2,10,2,8,17,3,4,9,5,7,10,10,8,15,3,1,10,7,9,2,8,10,10,3,3,2,1,6,2,5,17,2,2,15,13,16,2,1,1,19,3,14,11,18,16,10,7,12,2,18,2,5,5,10,4,4,2,18,6,6,2,6,6,5,3,17,2,7,1,1,5,12,2
Welsh,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,7,8,18,12,20,1,3,2,1,1,1,1,9,9,6,18,8,8,15,18,21,18,15,15,6,6,10,15,7,13,5,7,19,14,10,10,1,1,10,20,1,3,21,20,9,9,9,9,3,5,5,11,11,16,15,15,16,16,12,12,2,11,11,17,5,2,2,10,21,6,6,2,9,14,1,14,14,17,4,4,9,6,6,2,19,1,1,1,1,11,16,17,11,2,11,8,12,12,10,14,5,10,20,9,1,1,18,12,1,11,2,18,22,16,15,15,18,9,1,10,14,11,19,13,16,21,15,15,10,10,17,8,17,11,13,10,3,3,1,1,20,14,14,2,3,18,20,15,9,6,2,1,13,2,13,13,7,7,14,1,8,2,1,17,1,10,1,10,18,18,19,1,1,13,13,14,17,14,3,1,13,13,2,16,16,14,14,10,2,2,16,3,8,8,18,17,16,8,13,19,2,8,18,12,15,15,6,13,10,10,9,11,7,1,18,10,3,2,17,15,19,12,12,2,1,17,10,12,12,15,6,16,14,13,2,9,9,20,3,11,3,19,17,17,1,3,2,19,2,14,14,3,1,1,2,2,7,7,2,12,12,2,16,18,2,2,12,1,5,12,2
Oscan,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,19,2,21,1,3,2,2,2,1,1,10,10,16,19,13,13,9,11,22,19,16,16,13,13,15,16,13,14,16,13,20,15,1,14,11,11,15,21,7,3,22,21,7,7,6,6,17,6,6,12,12,17,16,16,17,17,13,13,2,10,10,18,1,2,2,18,22,10,10,2,7,15,18,15,15,18,5,5,15,7,7,8,20,15,1,1,7,7,17,18,20,7,7,14,13,13,19,15,2,17,17,13,1,1,19,13,1,7,2,19,23,17,16,16,16,16,14,16,15,19,20,10,17,22,16,16,17,16,18,15,18,12,14,19,3,8,9,9,21,15,15,13,9,19,21,7,18,15,1,1,14,2,14,14,15,15,15,3,14,8,1,5,1,11,8,8,15,15,20,10,10,14,14,15,18,15,13,12,14,14,2,17,17,15,15,7,2,2,17,8,2,2,19,18,14,2,14,21,5,15,15,13,16,16,12,14,3,20,15,12,13,13,19,11,10,15,18,16,20,13,13,10,10,18,2,13,13,16,13,10,10,14,4,10,10,21,11,12,3,15,18,18,5,3,8,20,6,15,15,16,11,11,14,14,21,21,6,13,13,10,17,19,12,17,10,10,11,11,9
Umbrian,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,20,2,22,1,3,2,3,2,1,1,11,11,10,20,14,14,9,19,23,20,17,17,13,13,6,17,14,15,17,14,21,16,1,14,12,12,16,22,8,9,23,22,8,8,10,10,18,7,7,13,13,10,17,17,18,18,14,14,2,12,12,16,1,2,2,19,23,6,11,2,7,16,19,16,17,19,5,5,16,8,8,9,21,16,1,1,8,8,18,18,21,8,8,15,14,14,20,16,2,18,18,14,1,1,19,14,1,8,9,20,24,18,17,17,16,18,15,17,16,20,21,2,18,23,8,17,18,10,19,16,19,13,15,20,3,8,10,10,22,9,16,14,10,20,22,7,19,16,6,1,15,7,7,7,16,16,6,1,15,10,1,6,1,12,9,9,16,16,21,11,12,15,15,16,19,16,14,13,15,15,11,18,18,16,16,7,2,2,18,8,2,2,3,19,15,9,15,3,6,16,16,14,17,17,13,15,17,21,10,13,14,1,20,12,11,16,19,17,21,14,14,11,11,6,11,14,14,17,14,11,11,15,2,11,11,22,12,13,12,16,19,19,6,9,9,21,7,16,16,17,12,12,15,15,23,23,2,14,14,11,18,20,13,19,11,11,5,5,10
